scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,73.80233013972742,80.93557045326558,82.58446768094961,83.9070738479397,,
summary_avg,__avg__,70.0954631463561,77.80334385738732,79.63991100148814,81.16073867884141,,
scene,botanical_garden,32.379665052521716,34.756997372087525,35.23246383600068,35.58906368393555,30,30
scene,boulders,82.05113892650505,87.76011679111508,89.04012037056907,89.97460563982997,26,26
scene,bridge,78.24865809970902,83.88030111775862,85.26348801845074,86.37345564528405,109,110
scene,courtyard,71.09716997405343,83.05270023220112,85.99493674708877,88.35103131081227,38,38
scene,delivery_area,83.74715525303404,88.52218194190517,89.47694552877947,90.19301821893518,44,44
scene,door,81.56528225505917,87.58174833896737,88.91268536701679,89.91088813805385,7,7
scene,electro,67.22787068419629,76.58381957538606,78.87924722601952,81.291212126132,45,45
scene,exhibition_hall,77.0423945152074,85.61700572931164,87.69725496618166,89.26326552283864,68,68
scene,facade,80.99927376638843,87.50618399184933,88.86669799823487,89.8878944536629,76,76
scene,kicker,73.0114657450225,80.50294048816424,82.16295686376854,83.56500296349097,30,31
scene,lecture_room,61.03660768800458,70.81728807264071,73.2979075138699,75.96325153436827,23,23
scene,living_room,79.69771829272875,86.94298834778049,88.5054462999209,89.7072686045059,65,65
scene,lounge,26.086989067625236,28.89768322456194,29.459822055949296,29.881426179489793,6,10
scene,meadow,42.32498633038645,59.32824385944896,65.02801063710015,70.56393742679006,15,15
scene,observatory,58.030094510584696,78.4800601363163,83.37645740837056,87.14277415873072,27,27
scene,office,58.88065332474809,77.74387889089489,82.79301666611909,86.851053787605,26,26
scene,old_computer,36.462817698123445,41.93804036743444,43.09233640664936,43.9716811948754,54,54
scene,pipes,80.87288135309537,87.56368772375907,88.9018489978918,89.90546995349133,14,14
scene,playground,75.05195017724738,85.37583249048116,87.53740949040917,89.21832511724396,38,38
scene,relief,86.12475440044295,89.31431207287491,89.9522236073613,90.4306572582261,31,31
scene,relief_2,86.49803007687069,89.43873729835083,90.02687874264686,90.46798482586888,31,31
scene,statue,89.97241421686074,90.5968653450142,90.72175557064486,90.81542323986788,11,11
scene,terrace,84.06037993379682,88.62618725065953,89.53934871403207,90.2242198115615,23,23
scene,terrace_2,82.19681814369888,87.9347367435078,89.12447840974103,90.01678465941598,13,13
scene,terrains,77.71940917299116,86.32105903221179,88.1140375943878,89.45877151601978,42,42
