scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,75.8189117782622,82.7074537999323,84.2230505042215,85.39973330855092,,
summary_avg,__avg__,71.12691801999621,78.44597314273709,80.191304609312,81.65301082677149,,
scene,botanical_garden,39.41143307720209,42.87711879793477,43.61550847834288,44.16930073864897,30,30
scene,boulders,82.07592777592077,87.84589096812263,89.07117094450994,89.99013092680042,26,26
scene,bridge,81.63230524113067,86.69615543553252,87.72017260016248,88.48818547363497,109,110
scene,courtyard,73.15920931497963,84.80450708099907,87.19461424471997,89.05935624150841,38,38
scene,delivery_area,84.2701903774622,88.69751535199683,89.58214557483446,90.24561824196267,44,44
scene,door,85.20163675126282,89.00660618981487,89.7676000775253,90.33834549330811,7,7
scene,electro,70.99969070040213,78.23981746059052,79.99722105048393,81.43362717433457,45,45
scene,exhibition_hall,76.95949276597241,85.58010001821177,87.67493420637334,89.25210514293444,68,68
scene,facade,81.44067624223767,87.64560704213899,88.95100058891974,89.93004574900534,76,76
scene,kicker,80.18433935635461,83.42410529864802,84.07205848710669,84.55802337845068,30,31
scene,lecture_room,53.30522670078674,59.330993618851544,60.60757928306083,62.26284750874039,20,23
scene,living_room,79.06589167958185,86.70998603283668,88.36604336940266,89.6375671392468,65,65
scene,lounge,26.507157909162782,29.03773950507446,29.54385582425679,29.923443063643546,6,10
scene,meadow,35.07214025874403,54.06827661109217,61.52263603659191,69.53844133753702,15,15
scene,observatory,58.19050279350654,78.56979413468267,83.42680545812217,87.16794818360654,27,27
scene,office,59.66313499142167,78.17288278340314,83.0440283278371,86.97628637867467,26,26
scene,old_computer,47.971885533658124,55.07905300506277,56.59220278749009,57.741498763670705,54,54
scene,pipes,81.97053001374192,87.92957061064124,89.12137873002112,90.01523481955597,14,14
scene,playground,79.51825200259056,87.0220412111954,88.52513472283776,89.72952270236999,38,38
scene,relief,86.30448741332282,89.3742230771682,89.9881702099373,90.44863055951409,31,31
scene,relief_2,86.3677527995944,89.39531153925873,90.00082328719161,90.45495709814124,31,31
scene,statue,89.90432872002705,90.57417017940296,90.70813847127812,90.80861469018451,11,11
scene,terrace,84.0800432093537,88.63274167584517,89.54328136914344,90.22618613911719,23,23
scene,terrace_2,81.86560447525402,87.79920117676008,89.0431570696924,89.97612398939165,13,13
scene,terrains,73.05111039623398,84.63591976316205,87.10295403295792,88.95322973530484,42,42
