scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,75.6777263259363,82.55896797237014,84.10290436301379,85.3330631550423,,
summary_avg,__avg__,70.18512728993117,77.14896979357886,78.83583161969433,80.25549192326667,,
scene,botanical_garden,35.23303868770059,38.96305338795138,39.794268936145265,40.60502425690664,30,30
scene,boulders,82.3095639535291,87.91229212437706,89.1110116382626,90.01005127367675,26,26
scene,bridge,81.39593846783146,86.58540839710322,87.65372437710492,88.45496136210616,110,110
scene,courtyard,71.27879778779621,84.0629672581881,86.76753492795817,88.83831291852457,38,38
scene,delivery_area,84.26914034512362,88.69734997778966,89.58204635031016,90.24556862970054,44,44
scene,door,85.30645263092568,89.04154481636917,89.78856325345787,90.3488270812744,7,7
scene,electro,70.93389350716856,78.36853610722568,80.68484117293497,83.29508825653664,44,45
scene,exhibition_hall,77.14823746525636,85.6528060235035,87.71897256881256,89.27412432415406,68,68
scene,facade,81.23049082244957,87.57283074726224,88.90733481199369,89.90821286054229,76,76
scene,kicker,77.8031195983215,82.5907968644436,83.57207342658405,84.30803084818936,30,31
scene,lecture_room,59.233178823872294,69.35824027270269,71.85711111048384,74.21209300775914,23,23
scene,living_room,79.00214534764487,86.67862390732523,88.34648177479585,89.62778634194336,65,65
scene,lounge,27.147664829441894,29.251241811834163,29.671957208312612,29.987493755671462,6,10
scene,meadow,9.84004681495298,15.432099420163437,19.511548196403876,24.32630868741669,15,15
scene,observatory,58.088911990033495,78.52412837767824,83.4034887679752,87.15628983853301,27,27
scene,office,59.823770244931374,78.24909510547418,83.09781492503451,87.00357138650588,26,26
scene,old_computer,47.662572771336585,54.95726087758341,56.51630507529114,57.70354990757123,54,54
scene,pipes,80.62020957846283,87.47946379888155,88.85131464296526,89.88020277602811,14,14
scene,playground,79.22843012021744,86.92038489587014,88.46414093364258,89.69409210878484,38,38
scene,relief,86.22983602548425,89.34933928122202,89.97323993236958,90.44116542073023,31,31
scene,relief_2,86.23010741031932,89.3494297428337,89.97329420933657,90.44119255921373,31,31
scene,statue,89.834736303649,90.55097270727693,90.69421998800252,90.8016554485467,11,11
scene,terrace,84.10648249476257,88.64155477098147,89.54856922622524,90.22883006765808,23,23
scene,terrace_2,82.12836688312032,87.89129549192923,89.0984136587939,90.0037522839424,13,13
scene,terrains,78.5430493439479,86.64352867350168,88.30751937916175,89.59111267975044,42,42
