scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,73.71672601834793,80.67434653693188,82.29531308255959,83.69423137138241,,
summary_avg,__avg__,69.34705390670442,76.42858719819299,78.13347287788957,79.65102202563816,,
scene,botanical_garden,39.48941247898951,42.89103287325571,43.623856923535456,44.17347496124526,30,30
scene,boulders,82.30956277268388,87.91229160483657,89.11101132653832,90.01005111781461,26,26
scene,bridge,79.82320913096635,86.01077627147141,87.56251418439602,88.9746086886407,110,110
scene,courtyard,69.70043388575505,83.39162138219916,86.28537689046817,88.59370549300569,38,38
scene,delivery_area,84.0410145626413,88.62022653687355,89.5357722857605,90.22243159742568,44,44
scene,door,85.30645383795715,89.041545218713,89.78856349486415,90.34882720197753,7,7
scene,electro,70.10701909367306,77.9513868402566,79.82421745536001,82.43271960638212,45,45
scene,exhibition_hall,77.1411008355457,85.64948208180591,87.71696899719888,89.2731225383472,68,68
scene,facade,81.22537987516485,87.56171502293502,88.90066537739737,89.90487814324416,76,76
scene,kicker,77.51352612210951,82.5023056615949,83.51897870487483,84.28148348733475,30,31
scene,lecture_room,56.92400325702446,64.8422876035716,67.98912463217111,73.96717410338483,23,23
scene,living_room,62.81608524265483,68.05688171987494,69.20133747830432,70.09017922866265,65,65
scene,lounge,26.179086236977682,28.92838228101276,29.47824148981978,29.89063589642504,6,10
scene,meadow,9.497609182171335,20.233206529288235,23.914815692464714,26.676022564847077,14,15
scene,observatory,58.093355541710906,78.52594793852535,83.40460842576358,87.15684966742724,27,27
scene,office,56.71154386086121,76.064415542743,81.60700085927661,86.25804588418374,26,26
scene,old_computer,47.74059812042758,54.979636302275104,56.527714249890515,57.70925449487093,54,54
scene,pipes,81.91322428755066,87.91046870191082,89.10991758478285,90.00950424693687,14,14
scene,playground,79.22813403388399,86.92027967646949,88.46407780200218,89.69406230102975,38,38
scene,relief,86.23004240906965,89.34940807575049,89.97328120908664,90.44118605908878,31,31
scene,relief_2,86.23178981464324,89.34999054427503,89.97363069020136,90.44136079964615,31,31
scene,statue,89.8305726879934,90.54958483539174,90.69338726487142,90.80123908698117,11,11
scene,terrace,84.10658131568617,88.64158771128932,89.54858899040998,90.22883994975042,23,23
scene,terrace_2,82.12836688320463,87.89129549195734,89.09841365881076,90.00375228395083,13,13
scene,terrains,79.38824219826427,86.93892350654775,88.48475627898935,89.69214123835071,42,42
