scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,74.3569579961394,81.2939121599603,82.83706890521401,84.05817187091954,,
summary_avg,__avg__,70.24082270527438,77.76377024999593,79.5398361885173,81.00440252949133,,
scene,botanical_garden,39.31169246639099,42.779968544178395,43.564681874882865,44.14388743691895,30,30
scene,boulders,82.05113947994457,87.76011697644823,89.0401205218953,89.97460571549308,26,26
scene,bridge,80.04190392550971,85.05584625847567,86.08089572991292,86.84968283349082,110,110
scene,courtyard,72.04343947908625,83.68881021224432,86.49075666499917,88.69584879828957,38,38
scene,delivery_area,84.54658200289764,88.78825460702646,89.63658912785225,90.27284001847156,44,44
scene,door,81.56528218601383,87.58175103801828,88.91268698644733,89.91088894776911,7,7
scene,electro,66.86328495183746,76.36869193767069,78.73847929482781,81.21314243865203,45,45
scene,exhibition_hall,77.04413807357919,85.6223035197371,87.70063345053754,89.26495476501655,68,68
scene,facade,80.85342680692129,87.45715218731355,88.83708035374119,89.87308563141606,76,76
scene,kicker,73.00420615024998,80.50133407289636,82.16199301460779,83.5649075995095,30,31
scene,lecture_room,52.83430242787189,59.0715898311864,60.5592803218688,62.390382447878864,20,23
scene,living_room,79.1374628212021,86.73145220373958,88.37815691825153,89.6436239136712,65,65
scene,lounge,26.0869874070675,28.8976826710427,29.459821723837745,29.881426013434016,6,10
scene,meadow,42.32498465463338,59.32824481124157,65.02801539852254,70.56394632238384,15,15
scene,observatory,58.03009451058519,78.4800601363161,83.37645740837037,87.14277415873065,27,27
scene,office,59.47343002429284,78.12761835078294,83.0712371648267,86.9901640369588,26,26
scene,old_computer,36.0451108404699,41.78561404183988,43.00322949470698,43.92712773890422,54,54
scene,pipes,80.68225790128092,87.50014657315424,88.86372430752888,89.88640760830991,14,14
scene,playground,77.3427074475734,86.27163232114768,88.07488938880913,89.48729903717894,38,38
scene,relief,86.12184114313091,89.31334098710423,89.95164095589891,90.43036593249491,31,31
scene,relief_2,86.46825107474916,89.42881096431033,90.02092294222255,90.46500692565672,31,31
scene,statue,89.97241078926321,90.59686420248168,90.72175488512536,90.81542289710812,11,11
scene,terrace,84.06031491992046,88.62616557936742,89.53933571125681,90.22421331017385,23,23
scene,terrace_2,82.19681814369075,87.93473674350513,89.12447840973942,90.01678465941517,13,13
scene,terrains,77.91849800369695,86.39606747866947,88.15904266226238,89.48127404995708,42,42
