scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,75.69094628408442,82.73942200079661,84.44061651592476,85.89098681417501,,
summary_avg,__avg__,70.00968009910056,77.51734659703614,79.52317576024123,81.34889489006791,,
scene,botanical_garden,45.63360465269758,59.61397540172273,68.39272220061206,77.6094156687387,30,30
scene,boulders,82.30956409524984,87.91229228325541,89.1110117335896,90.01005132134024,26,26
scene,bridge,81.36369089090664,86.52567376789307,87.60987923764273,88.43303879237506,109,110
scene,courtyard,71.59018943554744,84.12266196005965,86.78597979519327,88.85109605608719,38,38
scene,delivery_area,84.2707639068214,88.69790071636447,89.58237679345501,90.245733851273,44,44
scene,door,85.306457687178,89.0415465017866,89.78856426470833,90.3488275868996,7,7
scene,electro,70.93962325513478,78.36375115299838,80.6736313884696,83.28720717632281,44,45
scene,exhibition_hall,77.14432081613121,85.65076914732197,87.717713291146,89.2734946853208,68,68
scene,facade,81.46526182855298,87.64792921402126,88.95239389204909,89.93074240057,76,76
scene,kicker,69.61991291476755,75.94192234871147,77.58834817447972,81.01664907547394,30,31
scene,lecture_room,51.57905584501887,59.37374296081459,61.81449101325499,65.37778503603013,22,23
scene,living_room,79.15229576263306,86.74003092433139,88.38401082969567,89.6465508693933,65,65
scene,lounge,26.179085988056606,28.928382198039063,29.478241440035564,29.89063587153293,6,10
scene,meadow,9.504494903350675,20.238838075456517,23.91819462016569,26.677712028697563,14,15
scene,observatory,58.08891198612225,78.52412837617155,83.4034887670556,87.15628983807323,27,27
scene,office,59.87647619415966,78.29016742571235,83.13012874219888,87.0192658453838,26,26
scene,old_computer,47.93499150165594,55.05216884967669,56.57241729634002,57.73160601809568,54,54
scene,pipes,81.92404337476769,87.9140750643165,89.11208140222625,90.01058615565857,14,14
scene,playground,79.27476867187619,86.93613758674938,88.47359254817012,89.70017166916647,38,38
scene,relief,86.23030073524592,89.3494941844759,89.97333287432191,90.44121189170639,31,31
scene,relief_2,86.21512756571647,89.33886376281777,89.96695462132702,90.43802276520896,31,31
scene,statue,89.83057304293166,90.5495849537045,90.69338733585907,90.80123912247497,11,11
scene,terrace,84.10658132728324,88.64158771515501,89.54858899272935,90.22883995091014,23,23
scene,terrace_2,82.12836688314056,87.89129549193603,89.09841365879797,90.00375228394445,13,13
scene,terrains,78.57353921256758,86.64674486241138,88.30944909250753,89.59244629101987,42,42
