scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,76.67974968251826,83.40589008253005,84.90478383711277,86.1104862677836,,
summary_avg,__avg__,71.57448388105139,78.91395474761535,80.7285672196553,82.24700260239159,,
scene,botanical_garden,38.97477744911927,42.339015484910334,43.04186279146866,43.568998271387414,30,30
scene,boulders,82.18012786920883,87.88715020243984,89.09592648510026,90.00250869709558,26,26
scene,bridge,82.68317498313934,88.12833554884396,89.24063769294277,90.07486430101683,110,110
scene,courtyard,74.03325286549017,84.9716493064977,87.34662594753496,89.12785842831295,38,38
scene,delivery_area,84.54333021062152,88.78717067626778,89.63593876939703,90.272514839244,44,44
scene,door,83.89534504820264,88.57117562212815,89.50634173691324,90.20771632300207,7,7
scene,electro,75.27209495303252,82.3915274005763,84.06487104628306,85.42029278354697,45,45
scene,exhibition_hall,77.06389349009726,85.61056942103107,87.69515338493039,89.26221473221295,68,68
scene,facade,82.34819012679901,88.01123314967279,89.17037625344004,90.03973358126547,76,76
scene,kicker,79.82387300443125,83.3039498480069,83.999965216722,84.52197674325839,30,31
scene,lecture_room,62.87020549762683,74.75587129808221,77.8996434877496,82.57542896436405,23,23
scene,living_room,79.91575479363294,87.02124637036874,88.55307571683126,89.73108331296112,65,65
scene,lounge,27.19229680479676,29.266119136952454,29.68088360338359,29.991956953206948,6,10
scene,meadow,26.15223150721232,46.46724035903445,54.89333122840768,61.2128993804376,13,15
scene,observatory,58.20948246209041,78.55819268425357,83.41864293282674,87.16386692095881,27,27
scene,office,59.52788578904145,77.83133084582343,82.78083724059226,86.83405558220272,26,26
scene,old_computer,47.93860543780403,55.05771236225424,56.577684385692606,57.734239562771975,54,54
scene,pipes,82.35745125838041,88.05854435885406,89.1987629789488,90.05392694401985,14,14
scene,playground,79.74763328330242,87.09350287792104,88.56801172287314,89.75013113158802,38,38
scene,relief,86.2776041597625,89.3652619926481,89.98279355922523,90.44594223415805,31,31
scene,relief_2,86.38601532128965,89.40139904649048,90.00447579153065,90.45678335031076,31,31
scene,statue,89.92118591559425,90.57978924459202,90.7115099103916,90.81030040974125,11,11
scene,terrace,84.56552811697944,88.79456997838707,89.6403783506686,90.27473462987975,23,23
scene,terrace_2,82.06774890578484,87.89133348139649,89.09843645247425,90.00376368078258,13,13
scene,terrains,75.41440777284487,82.70497799295038,84.40801380505394,86.63727330206346,42,42
