scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,28.315683550200998,39.32794013965238,42.48140377958811,45.49641579195665,,
summary_avg,__avg__,32.09731299007023,46.493706357014304,50.69847982402267,54.827033357199845,,
scene,botanical_garden,7.792501783926205,11.092390054872258,12.838995933007318,14.912883977803894,30,30
scene,boulders,0.0,0.0,0.0,0.15010967199806272,24,26
scene,bridge,21.0951888393918,25.022383945850056,26.017465050585592,27.101758331380562,110,110
scene,courtyard,38.03156560029539,66.07832658604256,73.83399508132271,79.89982141174384,37,38
scene,delivery_area,2.008049940993289,3.8091221566548215,4.748905465495793,6.8251610741660365,44,44
scene,door,67.41808330200756,80.32721909022683,82.82836608617073,87.23477983063454,7,7
scene,electro,27.12946780045595,51.062904431380744,58.37661201745743,64.644657968733,45,45
scene,exhibition_hall,0.039679093900961464,0.057379636306657024,0.06635371362212973,0.09456679866272061,67,68
scene,facade,62.44435253965513,79.847589647445,84.0694489499797,87.45469066609147,76,76
scene,kicker,28.100025502973097,45.10350689962958,50.01610982139357,55.77409107818848,29,31
scene,lecture_room,13.461295993351957,17.264713015940366,18.69782075495816,19.846339646329447,22,23
scene,living_room,54.62257954698861,73.84946348016814,78.82580202005926,83.14834843013742,64,65
scene,lounge,25.564736100722445,28.723598902261017,29.355371462568733,29.82920088279952,6,10
scene,meadow,16.931359866921202,32.84705736960806,38.66782208371297,45.703153031213716,15,15
scene,observatory,29.488771170540684,59.34858773206302,70.08758273413915,79.3372495395269,27,27
scene,office,17.7519841871072,36.307666120370115,44.8938533345656,55.61665624874364,25,26
scene,old_computer,8.069029155378903,13.59524347216902,14.983414143432197,16.088932567927156,54,54
scene,pipes,49.588404852942816,75.42168890889606,81.37177750205123,86.14043420557108,14,14
scene,playground,36.58071295676792,49.26132208591952,56.168314312298826,65.68666264470416,38,38
scene,relief,35.18401593049201,56.55588469003852,61.73944677017763,65.76708408890113,31,31
scene,relief_2,43.57492162765345,72.13614356810245,79.37764337599673,85.10894173215488,31,31
scene,statue,58.59434241956288,80.13750807924822,84.44614121118529,87.67761606013809,11,11
scene,terrace,56.419961963937546,78.82565261538942,83.66865370501787,87.28887230705439,23,23
scene,terrace_2,74.87103406780784,84.87240094567791,87.2870769310431,89.09808392006701,13,13
scene,terrains,27.670760507980884,40.79490549109754,45.09502314032499,50.245737815325164,39,42
