scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,27.064703058075477,37.23484232448984,40.39840461006986,43.568909921213454,,
summary_avg,__avg__,28.385870807381174,41.025399183777964,44.887621563104005,48.84138480107709,,
scene,botanical_garden,8.03222299353615,11.876879373226656,13.317852023773296,14.717604081746648,30,30
scene,boulders,0.0,0.0,0.0,0.08295019941575461,25,26
scene,bridge,21.926245649750893,25.919456706286443,27.853252155043435,30.421440380667367,110,110
scene,courtyard,35.291222753104925,59.9806084176181,66.44690120113923,71.56282924462758,35,38
scene,delivery_area,1.8093649922987602,3.0386529003495677,3.841259543476337,5.442624402668843,43,44
scene,door,66.22726152765809,79.88664645873082,82.56402250727312,84.57205454367984,7,7
scene,electro,32.55755917469479,54.173223051346504,60.29576353942652,65.66636841307731,42,45
scene,exhibition_hall,0.03854715572740298,0.05173134079980947,0.06221764503640161,0.0778627532346953,66,68
scene,facade,63.3385210690204,80.46803516735045,84.49058336515819,87.67153026637578,76,76
scene,kicker,20.885413208018736,49.24252188202912,59.425231995609145,68.62693229563085,30,31
scene,lecture_room,5.660213381543401,10.253129263139193,12.058963306309254,14.050670394088735,23,23
scene,living_room,49.87164291308404,69.76929266587621,75.28767340010708,80.00917491731654,65,65
scene,lounge,22.865797790748147,27.823952798936254,28.815583800573872,29.559307051802083,6,10
scene,meadow,5.0917589549132485,19.02264673270995,27.00942462950882,44.3893427541208,15,15
scene,observatory,29.203303639426423,59.59334517124921,70.66295948530947,80.08486284741065,27,27
scene,office,16.070934546170445,28.2721312513498,33.527052077176684,39.15733901299994,25,26
scene,old_computer,5.933396865816453,11.533024690007553,13.284081008828558,15.088671439164893,54,54
scene,pipes,22.846453943291284,36.45511807500977,40.254689226624244,43.104367590335094,14,14
scene,playground,31.775764248619897,39.7828707517174,43.69128230090919,50.616918876149605,38,38
scene,relief,29.59907623082134,40.80912696380942,43.60256697810616,45.84820431016745,31,31
scene,relief_2,26.46599177344879,37.40690403802752,40.007583209360575,41.997926502041,31,31
scene,statue,57.98008485068311,79.9327555562883,84.32328969740936,87.61619030325012,11,11
scene,terrace,57.11201373481209,79.37586700586431,83.98915656715495,87.44912373812292,23,23
scene,terrace_2,74.3683009751139,84.69651017606638,87.18154246927618,89.04531668918354,13,13
scene,terrains,24.695677812226535,36.27054915666039,40.197606945009895,44.175007019649485,42,42
