scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,41.21748809506478,64.02155301732223,70.59521044924233,76.1913042021243,,
summary_avg,__avg__,40.21128191858147,60.5084438436404,66.18850330838636,70.99240503741595,,
scene,botanical_garden,33.28661267137641,65.13981715908798,74.11020948299323,81.60148074302039,30,30
scene,boulders,40.13058440936449,70.73988828934178,78.30297486026475,84.35368715322844,26,26
scene,bridge,37.92144264122222,59.63392142349648,66.24100167415664,72.146728660733,109,110
scene,courtyard,35.64044913963458,64.71592278932704,73.00842664292976,79.45140246318873,37,38
scene,delivery_area,48.427599491421354,74.32764449644978,80.77078064976739,85.79441548161569,44,44
scene,door,67.31540432991858,80.30891084928699,83.66648870876833,87.28542757235884,7,7
scene,electro,29.726027666159776,52.701634292808286,60.722613576677816,68.78563449105322,45,45
scene,exhibition_hall,23.258647293953196,59.57824462492086,70.71989799064632,79.79373158030009,68,68
scene,facade,60.164225204128634,78.67158548381794,83.26571576551629,86.9824582043364,76,76
scene,kicker,46.45886165700857,68.75082124860756,74.63031289960227,79.57173128406207,30,31
scene,lecture_room,48.8180906005916,71.08945749611196,78.12877405151123,84.02708211608854,23,23
scene,living_room,63.28841702551703,80.55882136616468,84.51389345503661,87.67749196081665,65,65
scene,lounge,25.12525044768713,28.57710368458258,29.267474331961665,29.78525231749598,6,10
scene,meadow,0.0,0.0,0.0,0.28303181302627967,12,15
scene,observatory,38.40983833800283,67.93087634934669,76.54579659736817,83.56946333010248,27,27
scene,office,20.394873528877014,47.320482462724875,60.86916437301832,74.03695054431303,26,26
scene,old_computer,19.22507346120033,37.964497779376245,45.136728490697664,51.60029007880278,54,54
scene,pipes,0.0,0.0,0.0,0.0,0,14
scene,playground,30.764411520857102,36.51797946653042,37.85425110359519,39.205229437300126,37,38
scene,relief,53.348988032910334,76.95370766910912,82.34009029692035,86.61519097421943,31,31
scene,relief_2,53.48221682450014,77.9031471511574,83.10745484244504,87.00827287576796,31,31
scene,statue,57.806315435732884,79.87483241797156,84.2885358144193,87.5988133617551,11,11
scene,terrace,52.62338801973485,77.81408731542328,83.05208875289034,86.9805898309906,23,23
scene,terrace_2,75.29487708031145,85.05848781808724,87.39872905448873,89.15390998178981,13,13
scene,terrains,44.37045314442609,70.5792244572791,76.77117929398348,81.50185967903357,41,42
